                                                  NAME    neg    neu    pos  \
34   Arvindkumar_Anupalal_Poddar_vs_State_Of_Mahara...  0.103  0.854  0.043   
35   ashim-asim-kumar-haranath-bhattacharya-asim-ha...  0.082  0.830  0.088   
36   Asraf_Sk_Anr_vs_State_Of_West_Bengal_on_20_Oct...  0.113  0.835  0.052   
37   Bablu_Mubarik_Hussain_vs_State_Of_Rajasthan_re...  0.199  0.723  0.078   
38       Babu_vs_State_Of_Kerala_on_11_August_2010.PDF  0.087  0.870  0.043   
39   Balbir_Singh_vs_State_Of_Punjab_on_27_Septembe...  0.121  0.842  0.037   
40                                     Baldev crpc.pdf  0.099  0.840  0.062   
41           Bantu_vs_State_Of_U_P_on_23_July_2008.PDF  0.184  0.740  0.076   
42   bhagwanrao-mahadeo-patil-vs-appa-ramchandra-sa...  0.119  0.844  0.037   
43                                  Bhajan lal ipc.pdf  0.068  0.864  0.067   
44   bharat-chaudhary-vs-union-of-india-ll-2021-sc-...  0.079  0.858  0.064   
45   Bhupinder_Singh_vs_State_Of_Punjab_on_6_April_...  0.248  0.703  0.049   
46   Bodh_Raj_Bodha_And_Ors_vs_State_Of_Jammu_And_K...  0.140  0.816  0.044   
47   Brijesh_Mavi_vs_State_Of_Nct_Of_Delhi_on_3_Jul...  0.138  0.827  0.035   
48   brijesh-singh-vs-state-of-uttar-pradesh-ll-202...  0.059  0.897  0.044   
49                                   BS Joshi Crpc.pdf  0.082  0.829  0.089   
50                                    BS Joshi ipc.pdf  0.082  0.829  0.089   
51   Central_Bureau_Of_Investigation_vs_Anupam_J_Ku...  0.109  0.847  0.044   
52   Chaganti_Satyanarayan_Ors_vs_State_Of_Andhra_P...  0.103  0.862  0.035   
53                                 Chandrrappa ipc.pdf  0.104  0.797  0.100   
54   Charandas_Swami_vs_State_Of_Gujarat_Anr_on_10_...  0.186  0.783  0.031   
55   Delhi_Domestic_Working_Women'S_vs_Union_Of_Ind...  0.183  0.739  0.077   
56   Devidas_Ramsundar_Shukla_vs_State_Of_Maharasht...  0.089  0.872  0.039   
57   Dhal_Singh_Dewangan_vs_State_Of_Chhattisgarh_o...  0.085  0.888  0.027   
58   Dhan_Raj_Dhand_vs_State_Of_Haryana_on_9_May_20...  0.134  0.841  0.026   
59   dharmesh-dharmendra-dhamo-jagdishbhai-jagabhai...  0.093  0.855  0.053   
60   dilip-singh-vs-state-of-madhya-pradesh-ll-2021...  0.109  0.819  0.071   
61                             Divine Retreat crpc.pdf  0.090  0.832  0.078   
62                                     DK Basu ipc.pdf  0.195  0.716  0.089   
63   dr-rajesh-pratap-giri-vs-state-of-up-ll-2021-s...  0.032  0.912  0.056   
64   enforcement-directorate-vs-kapil-wadhawan-ll-2...  0.049  0.894  0.057   
65   fakhrey-alam-vs-state-of-uttar-pradesh-ll-2021...  0.037  0.906  0.057   
66         ganesan-vs-state-ll-2021-sc-614--403326.pdf  0.161  0.789  0.050   
67   Ganpat_Singh_vs_The_State_Of_Madhya_Pradesh_on...  0.113  0.849  0.038   
68   Gargi_vs_State_Of_Haryana_on_19_September_2019...  0.099  0.862  0.039   
69   Gentela_Vijayavardhan_Rao_And_Anr_vs_State_Of_...  0.119  0.806  0.075   
70                                 Gian Singh case.pdf  0.123  0.809  0.068   
71                                  Girja ipc case.pdf  0.136  0.756  0.107   
72                               Gopalanchari crpc.pdf  0.124  0.757  0.119   
73   gr-ananda-babu-v-state-of-tamil-nadu-ll-2021-s...  0.108  0.838  0.055   
74                                    Gurbaksh ipc.pdf  0.099  0.795  0.106   
75                                  Gurcharan crpc.pdf  0.138  0.787  0.075   
76   guru-dutt-pathak-vs-state-of-uttar-pradesh-ll-...  0.082  0.856  0.062   
77                                         Hamida crpc  0.110  0.790  0.100   
78                                        Hardeep Crpc  0.076  0.876  0.048   
79   Harendra_Narain_Singh_Etc_vs_State_Of_Bihar_on...  0.146  0.819  0.035   
80                               Hari Narayan Rai crpc  0.096  0.837  0.067   
81   Harishchandra_Ladaku_Thange_vs_State_Of_Mahara...  0.153  0.801  0.045   
82   harjit-singh-vs-inderpreet-singh-inder-ll-2021...  0.124  0.785  0.091   
83   high-court-of-judicature-for-rajasthan-versus-...  0.067  0.854  0.079   
84           honour-killing-case-sc-cancels-bai-396563  0.064  0.918  0.018   
85   indra-devi-vs-state-of-rajasthan-ll-2021-sc-31...  0.060  0.858  0.082   
86   Inspector_Of_Police_Tamil_Nadu_vs_Balaprasanna...  0.117  0.838  0.045   
87                                            IOL Crpc  0.123  0.767  0.110   
88                                    Jacob Mathew ipc  0.118  0.795  0.086   
89            Jamnadas_vs_State_Of_M_P_on_29_June_2016  0.114  0.853  0.033   
90   jaswant-singh-vs-state-of-punjab-ll-2021-sc-62...  0.134  0.807  0.058   
91   jayamma-vs-state-of-karnataka-ll-2021-sc-251-3...  0.091  0.856  0.054   
92   jitul-jentilal-kotecha-vs-state-of-gujarat-ll-...  0.076  0.885  0.039   
93   Jose_Pappachan_vs_Sub_Inspector_Of_Police_on_3...  0.082  0.860  0.058   
94                   kalai-selvi-ll-2021-sc-361-398180  0.051  0.889  0.060   
95   Kehar_Singh_Ors_vs_State_Delhi_Admn_on_3_Augus...  0.100  0.846  0.053   
96   kerala-assembly-ruckus-case-supreme-court-judg...  0.095  0.809  0.096   
97                                    Kolla Veera Crpc  0.107  0.873  0.020   
98   Krishnan_vs_State_Represented_By_Inspector_Of_...  0.123  0.828  0.049   
99   Kulvinder_Singh_Anr_vs_State_Of_Haryana_on_11_...  0.108  0.847  0.045   
100  kumer-singh-vs-state-of-rajasthan-ll-2021-sc-3...  0.133  0.793  0.074   
101    Kusuma_Ankamarao_vs_State_Of_A_P_on_7_July_2008  0.103  0.810  0.088   
102  lakhvir-singh-vs-state-of-punjab-ll-2021-sc-27...  0.089  0.835  0.077   
103  lakshman-singh-vs-state-of-bihar-ll-2021-sc-31...  0.123  0.836  0.041   
104                                  Lalita kUmari ipc  0.052  0.919  0.029   
105  Leo_Roy_Frey_vs_The_Superintendent_District_on...  0.115  0.844  0.041   
106  Liyakat_Anr_vs_State_Of_Rajasthan_on_26_Septem...  0.154  0.801  0.045   
107  Liyakat_vs_State_Of_Uttaranchal_on_25_February...  0.125  0.817  0.058   
108                              ll-2021-sc-316-397160  0.087  0.868  0.045   
109  ll-2021-sc-465-ramesh-chandra-srivastava-vs-st...  0.067  0.888  0.046   
110  ll-2021-sc-467-kanchan-sharma-vs-state-of-utta...  0.124  0.830  0.046   
111  ll-2021-sc-489-union-of-india-vs-md-nawaz-khan...  0.082  0.858  0.060   
112  ll-2021-sc-503-mahadev-meena-vs-raveen-rathore...  0.070  0.897  0.033   
113                                    Madan Mohan ipc  0.078  0.810  0.112   
114  Major_E_G_Barsay_vs_The_State_Of_Bombay_on_24_...  0.170  0.769  0.061   
115  Manjit_Singh_vs_The_State_Of_Punjab_on_3_Septe...  0.148  0.802  0.050   
116  Manoharan_vs_State_By_Inspector_Of_Police_on_1...  0.104  0.854  0.042   
117  Manoj_vs_The_State_Of_Madhya_Pradesh_on_20_May...  0.097  0.874  0.029   
118  manoj-kumar-sood-vs-state-of-jharkhand-ll-2021...  0.076  0.863  0.061   
119  Maya_Devi_Anr_vs_State_Of_Haryana_on_7_Decembe...  0.215  0.727  0.058   
120  md-ghouseuddin-vs-syed-riazul-hussain-ll-2021-...  0.049  0.899  0.052   
121  mithun-chaterjee-v-state-of-odisha-404108652-4...  0.065  0.818  0.117   
122  Mohan_Anna_Chavan_vs_State_Of_Maharashtra_on_1...  0.165  0.765  0.070   
123  Mohd_Azad_Samin_vs_State_Of_West_Bengal_on_5_N...  0.124  0.809  0.067   
124  Mohd_Azad_Samin_vs_State_Of_West_Bengal_on_5_N...  0.124  0.809  0.067   
125                 Mohd_Habib_vs_State_on_12_May_1988  0.092  0.865  0.043   
126  mohd-rafiq-kallu-vs-state-of-madhya-pradesh-ll...  0.199  0.754  0.047   
127  Mukesh_Anr_vs_State_For_Nct_Of_Delhi_Ors_on_5_...  0.111  0.847  0.042   
128  mukhtar-ansari-case-state-of-punjab-v-jail-sup...  0.092  0.862  0.047   
129  Munna_Kumar_Upadhyaya_vs_State_Of_A_P_Tr_Pub_P...  0.152  0.816  0.033   
130                                    Munni Devi crpc  0.066  0.852  0.082   
131                                  N Meera Rani crpc  0.095  0.843  0.062   
132     Nanhar_Ors_vs_State_Of_Haryana_on_11_June_2010  0.117  0.833  0.051   
133  Nar_Singh_vs_State_Of_Haryana_on_11_November_2014  0.143  0.808  0.049   
134  Narayan_vs_State_Of_Rajasthan_on_25_February_2009  0.129  0.813  0.058   
135                                 Narinder singh ipc  0.161  0.750  0.089   
136  nathu-singh-vs-state-of-uttar-pradesh-ll-2021-...  0.067  0.827  0.106   
137  naveen-singh-vs-state-of-uttar-pradesh-ll-2021...  0.086  0.859  0.055   
138  neeharika-infrastructure-pvt-ltd-vs-state-of-m...  0.070  0.853  0.076   
139  Neeraj_Alias_Kamal_Grover_vs_State_And_Anr_on_...  0.096  0.818  0.086   
140                               Nikhil Merchant Crpc  0.079  0.858  0.063   
141                                Nikhil Merchant ipc  0.079  0.858  0.063   
142  no-examinaiton-of-complainant-needed-before-15...  0.070  0.889  0.041   
143  noorulla-khan-vs-karnataka-state-pollution-con...  0.049  0.897  0.054   
144  n-raghavender-vs-state-of-andhra-pradesh-cbi-l...  0.087  0.847  0.066   
145  P_Rajagopal_And_Ors_Etc_vs_The_State_Of_Tamil_...  0.165  0.782  0.053   
146  Padala_Veera_Reddy_vs_State_Of_Andhra_Pradesh_...  0.199  0.742  0.058   
147  Paramjeet_Singh_Pamma_vs_State_Of_Uttarakhand_...  0.142  0.798  0.061   
148    pardeshiram-vs-state-of-mp-ll-2021-sc-73-388910  0.140  0.815  0.044   
149  Parveen_Sonu_vs_The_State_Of_Haryana_on_7_Dece...  0.131  0.822  0.047   
150  Patel_Hiralal_Joitaram_vs_State_Of_Gujarat_on_...  0.121  0.850  0.028   
151  Patel_Hiralal_Joitaram_vs_State_Of_Gujarat_on_...  0.121  0.850  0.028   
152  Pavan_Vasudeo_Sharma_vs_The_State_Of_Maharasht...  0.160  0.803  0.037   
153   Pawan_Kumar_vs_State_Of_Haryana_on_13_March_2001  0.140  0.783  0.077   
154                                  pdf_upload-363413  0.106  0.786  0.108   
155                                  pdf_upload-367249  0.045  0.907  0.048   
156                                  pdf_upload-369646  0.073  0.865  0.062   
157                                  pdf_upload-383459  0.113  0.823  0.064   
158                                  pdf_upload-386989  0.091  0.851  0.058   
159  phool-singh-vs-state-of-madhya-pradesh-ll-2021...  0.138  0.790  0.073   
160                                      PK Shaji crpc  0.070  0.875  0.055   
161  prakash-gupta-vs-securities-and-exchange-board...  0.085  0.830  0.085   
162  pramila-vs-state-of-uttar-pradesh-ll-2021-sc-3...  0.080  0.838  0.082   
163  prashant-dagajirao-patil-vs-vaibhav-sonu-arun-...  0.066  0.893  0.041   
164  prashant-singh-rajput-v-the-state-of-madhya-pr...  0.113  0.846  0.042   
165  pravat-chandra-mohanty-vs-state-of-odisha-ll-2...  0.115  0.837  0.047   
166                                  Preeti gupta crpc  0.122  0.796  0.083   
167  prem-shankar-prasad-vs-state-of-bihar-ll-2021-...  0.108  0.847  0.045   
168  priti-saraf-vs-state-of-nct-of-delhi-ll-2021-s...  0.095  0.837  0.068   
169        prodeep-wodeyar-v-state-of-karnataka-405016  0.061  0.885  0.055   
170  Purshottam_Chopra_vs_State_Govt_Of_Nct_Of_Delh...  0.098  0.868  0.034   
171      R_Shaji_vs_State_Of_Kerala_on_4_February_2013  0.074  0.874  0.051   
172  ragini-dwivedi-gini-rags-vs-the-state-of-karna...  0.062  0.872  0.066   
173  Rajiv_Singh_vs_The_State_Of_Bihar_And_Anr_on_1...  0.121  0.852  0.027   
174  Rajiv_Verma_vs_State_Of_H_P_And_Others_on_23_A...  0.084  0.842  0.074   
175                  rajkumar-bittu-ll2021sc345-397887  0.079  0.860  0.061   
176  Raju_vs_The_State_By_Inspector_Of_Police_on_19...  0.099  0.855  0.046   
177                                       Ram veer ipc  0.128  0.801  0.071   
178  Ram_Narain_Popli_vs_Central_Bureau_Of_Investig...  0.113  0.809  0.078   
179  ramawatar-vs-state-of-madhya-pradesh-ll-2021-s...  0.120  0.806  0.074   
180  Ramesh_Bhai_Anr_vs_State_Of_Rajasthan_on_24_Ap...  0.094  0.854  0.052   
181  Ramesh_Dasu_Chauhan_vs_The_State_Of_Maharashtr...  0.127  0.839  0.034   
182  ramesh-bhavan-rathod-vs-vishanbhai-hirabhai-ma...  0.099  0.839  0.062   
183  Ravi_Prakash_Singh_Arvind_Singh_vs_State_Of_Bi...  0.097  0.856  0.047   
184  ravuri-krishna-murthy-vs-state-of-telangana-ll...  0.069  0.898  0.032   
185                                     Reeta nag crpc  0.039  0.932  0.029   
186  Ritesh_Chakarvarti_vs_State_Of_Madhya_Pradesh_...  0.073  0.874  0.053   
187  Ritesh_Sinha_vs_State_Of_U_P_Anr_on_7_December...  0.085  0.851  0.064   
188  Riyojoddin_Rafiyoddin_Shaik_vs_State_Of_Mahara...  0.136  0.808  0.055   
189  Roop_Singh_Roopa_vs_State_Of_Punjab_on_20_June...  0.100  0.851  0.049   
190   Rumi_Bora_Dutta_vs_State_Of_Assam_on_24_May_2013  0.115  0.839  0.046   
191   S_D_Soni_vs_State_Of_Gujarat_on_21_December_1990  0.108  0.851  0.041   
192  sadakat-kotwar-vs-state-of-jharkhand-ll-2021-s...  0.143  0.808  0.049   
193  Sadhwi_Pragyna_Singh_Thakur_vs_State_Of_Mahara...  0.101  0.856  0.042   
194  Sahbir_Singh_vs_The_State_Of_Bihar_on_5_April_...  0.072  0.887  0.042   
195                                   Sakiri vasu crpc  0.064  0.877  0.059   
196  Samsul_Haque_vs_The_State_Of_Assam_on_26_Augus...  0.150  0.809  0.040   
197  sanatan-pandey-vs-state-of-uttar-pradesh-ll-20...  0.040  0.924  0.036   
198  Sanaullah_Khan_vs_State_Of_Bihar_on_15_Februar...  0.147  0.797  0.056   
199  Sandeep_Kumar_vs_The_State_Of_Uttarakhand_on_2...  0.108  0.862  0.031   
200                             sandeep-gururaj-387626  0.053  0.851  0.096   
201  Santosh_Kumar_Singh_vs_State_Th_Cbi_on_6_Octob...  0.122  0.830  0.047   
202  Sarbir_Singh_vs_State_Of_Punjab_on_11_February...  0.096  0.856  0.048   
203  satbir-singh-vs-state-of-haryana-ll-2021-sc-26...  0.194  0.752  0.054   
204  satender-kumar-antil-vs-cbi-ll-2021-sc-550-402081  0.072  0.882  0.046   
205  Sathya_Narayanan_vs_State_Tr_Insp_Of_Police_on...  0.104  0.858  0.038   
206  Satish_Kumar_vs_The_State_Of_Himachal_Pradesh_...  0.183  0.784  0.033   
207  Sayed_Darain_Ahsan_Darain_vs_State_Of_West_Ben...  0.112  0.852  0.037   
208  Selvi_Ors_vs_State_Of_Karnataka_Anr_on_5_May_2010  0.112  0.852  0.037   
209  seriousness-gravity-of-offence-bail-hcwatermar...  0.085  0.874  0.042   
210  shaik-ahmed-v-state-of-telangana-sec-364a-ipc-...  0.192  0.775  0.033   
211  shakuntala-shukla-vs-state-of-uttar-pradesh-ll...  0.153  0.777  0.070   
212  Shankar_Kisanrao_Khade_vs_State_Of_Maharashtra...  0.215  0.718  0.067   
213  Sharad_Birdhi_Chand_Sarda_vs_State_Of_Maharash...  0.215  0.718  0.067   
214  Shatrughna_Baban_Meshram_vs_The_State_Of_Mahar...  0.215  0.718  0.067   
215                                        Shilji crpc  0.114  0.802  0.084   
216  Shilpa_Mittal_vs_State_Of_Nct_Of_Delhi_on_9_Ja...  0.097  0.826  0.076   
217  Shivaji_Dadya_Shankar_Alhat_vs_State_Of_Mahara...  0.152  0.781  0.067   
218  shivaji-chintappa-patil-vs-state-of-maharashtr...  0.140  0.812  0.047   
219  Shivu_And_Anr_vs_R_G_High_Court_Of_Karnataka_A...  0.204  0.719  0.077   
220  Shri_D_K_Basu_Ashok_K_Johri_vs_State_Of_West_B...  0.193  0.727  0.081   
221  Shri_Dilip_K_Basu_vs_State_Of_West_Bengal_Ors_...  0.193  0.727  0.081   
222      Sonu_Amar_vs_State_Of_Haryana_on_18_July_2017  0.110  0.849  0.041   
223  sonu-subhash-kumar-vs-state-of-uttar-pradesh-l...  0.063  0.866  0.071   
224  State_Of_Himachal_Pradesh_vs_Rajiv_Jassi_on_6_...  0.184  0.769  0.048   
225  State_Of_Maharashtra_And_Another_vs_Madhukar_N...  0.045  0.894  0.060   
226  State_Of_Maharashtra_vs_Mrs_Bharati_Chandmal_V...  0.094  0.862  0.045   
227  State_Of_Rajasthan_vs_Raja_Ram_on_13_August_20...  0.123  0.802  0.075   
228   State_Of_Rajasthan_vs_Raja_Ram_on_13_August_2003  0.123  0.802  0.075   
229     State_Of_U_P_vs_Mohd_Iqram_Anr_on_13_June_2011  0.114  0.829  0.056   
230  State_Through_Cbi_vs_Mohd_Ashraft_Bhat_Anr_on_...  0.097  0.860  0.043   
231  State_vs_Jasbir_Singh_Billa_And_Kuljeet_on_16_...  0.100  0.875  0.025   
232                State_vs_Jassi_on_18_September_2019  0.155  0.790  0.055   
233    state-of-kerala-vs-mahesh-ll-2021-sc-193-391306  0.136  0.767  0.097   
234  state-of-madhya-pradesh-vs-mahendra-alias-golu...  0.138  0.787  0.075   
235  state-of-maharashtra-vs-pankaj-jagshi-gangar-7...  0.071  0.875  0.054   
236  state-of-odisha-vs-pratima-mohanty-ll-2021-sc-...  0.088  0.852  0.060   
237  state-of-rajasthan-vs-ashok-kumar-kashyap-ll-2...  0.091  0.863  0.046   
238   state-vs-tr-n-seenivasagan-ll-2021-sc-136-390173  0.049  0.891  0.060   
239                                   Subramaniam crpc  0.072  0.880  0.048   
240  Subramaniam_vs_State_Of_Tamil_Nadu_Anr_on_13_M...  0.137  0.818  0.045   
241  sudesh-kedia-vs-union-of-india-ll-2021-sc-204-...  0.096  0.839  0.065   
242  sudha-singh-vs-state-of-uttar-pradesh-and-othe...  0.198  0.726  0.075   
243  sumeti-vij-vs-paramount-tech-fab-industries-ll...  0.111  0.835  0.054   
244  Sunil_Clifford_Daniel_vs_State_Of_Punjab_on_14...  0.105  0.852  0.043   
245  supreme-court-grants-bail-to-ysrcp-mp-raghu-ra...  0.082  0.857  0.060   
246  Surendra_Kumar_vs_State_Of_Uttar_Pradesh_on_20...  0.157  0.793  0.050   
247  surendra-bangali-surendra-singh-routele-vs-sta...  0.056  0.899  0.046   
248                                  Suresh Nanda Crpc  0.035  0.893  0.072   
249       Suresh_vs_State_Of_Haryana_on_21_August_2018  0.120  0.846  0.034   
250                                          Swil crpc  0.087  0.888  0.026   
251  syed-afsar-pasha-quadri-v-the-state-of-telanga...  0.059  0.846  0.095   
252             T_Hanumantha_Rao_vs_Vs_on_6_April_2016  0.161  0.803  0.035   
253         taijuddin-versus-state-of-assam-702-405213  0.120  0.841  0.039   
254  Tejram_Patil_vs_State_Of_Maharashtra_on_26_Feb...  0.146  0.817  0.038   
255  The_State_Of_Bombay_vs_Kathi_Kalu_Oghad_And_Ot...  0.088  0.859  0.053   
256  thwaha-fasal-vs-union-of-india-ll-2021-sc-605-...  0.179  0.767  0.054   
257  Topandas_vs_The_State_Of_Bombay_on_14_October_...  0.189  0.748  0.064   
258  Ujjagar_Singh_vs_State_Of_Punjab_on_13_Decembe...  0.141  0.815  0.044   
259   union-of-india-vs-ka-najeeb-ll-2021-sc-56-388472  0.091  0.815  0.095   
260  Usman_Mian_Ors_vs_State_Of_Bihar_on_4_October_...  0.133  0.814  0.053   
261                               Vadilal Panchal crpc  0.108  0.829  0.062   
262  Vadlakonda_Lenin_vs_State_Of_Andhra_Pradesh_on...  0.154  0.813  0.034   
263  Vasant_Sampat_Dupare_vs_State_Of_Maharashtra_o...  0.125  0.831  0.044   
264          velladurai-vs-state-ll-2021-sc-456-400553  0.170  0.775  0.055   
265  Venkatesh_vs_State_Of_Karnataka_By_on_26_Augus...  0.156  0.806  0.037   
266  Vikramjit_Singh_Vicky_vs_State_Of_Punjab_on_24...  0.118  0.843  0.039   
267  Vilas_Pandurang_Patil_vs_State_Of_Maharashtra_...  0.112  0.830  0.057   
268  vinod-kumar-ias-vs-union-of-india-ll-2021-sc-2...  0.059  0.896  0.045   
269  vinod-kumar-sharma-v-state-of-up-404311663-404372  0.039  0.885  0.076   
270            vinod-kumar-v-amritpal-405076695-405080  0.163  0.806  0.030   
271  vipan-kumar-dhir-vs-state-of-punjab-ll-2021-sc...  0.089  0.810  0.101   
272  viram-virma-v-the-state-of-madhya-pradesh-4046...  0.092  0.885  0.023   
273  Vishaka_Ors_vs_State_Of_Rajasthan_Ors_on_13_Au...  0.082  0.834  0.084   
274       Vishal_Yadav_vs_State_Of_U_P_on_2_April_2014  0.099  0.847  0.054   
275  vn-patil-vs-k-niranjan-kumar-ll-2021-sc-135-39...  0.051  0.887  0.062   
276       xxx-vs-state-of-kerala-ll-2021-sc-684-404877  0.042  0.902  0.056   
277  Yogesh_Narain_Saxena_vs_State_Of_Uttaranchal_o...  0.125  0.835  0.040   

     compound                                               TEXT  Score  
0     -0.9989  M. R. Shah, J. 1. Feeling   aggrieved   and   ...      0  
1     -0.9994   M.R. SHAH, J. 1. Feeling aggrieved and dissat...      0  
2     -0.9998   Dr. Dhananjaya Y. Chandrachud, J. A Facts. B ...      0  
3     -0.9976  M.M. SUNDRESH, J. 1. These two appeals arise o...      0  
4     -0.9995  L. NAGESWARA RAO, J. Leave granted. 1. The ord...      0  
5     -1.0000  Dinesh Maheshwari, J. Table of Contents Prelim...      0  
6     -0.9809  ABHAY S. OKA, J. Leave granted. 1. The appella...      0  
7     -0.9994  B.R. GAVAI, J. 2 1. Leave granted. 2. The pres...      0  
8      0.9942  The Court is convened through Video Conferenci...      5  
9     -0.9956  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
10    -0.9699  Permission to file the special leave petition ...      0  
11     0.9619  B.R. GAVAI, J. 1. Criminal Appeal No.2169 of 2...      5  
12    -0.9695  This petition, seeking to question the order d...      0  
13    -0.9538  R.F. Nariman, J. 1. This contempt petition rai...      0  
14    -0.9999  R. Subhash Reddy, J. 1. Leave granted in S.L.P...      0  
15    -0.9999  Surya Kant, J: The appellants Achhar Singh and...      0  
16    -0.9955  ASHOK BHUSHAN,J. Leave granted. 2. This appeal...      0  
17    -1.0000  MARKANDEY KATJU, J. "Qareeb hai yaaron roz-em...      0  
18    -1.0000  MARKANDEY KATJU, J. "Qareeb hai yaaron roz-em...      0  
19    -0.9999  HIGH COURT OF JUDICATURE AT ALLAHABAD 1 Court ...      0  
20    -0.9997  1. It is a case of dowry death. There are thre...      0  
21    -0.9996  SETHI,J. The appellant was charged for the off...      0  
22    -0.9979  Leave granted. This is one more case based on ...      0  
23    -1.0000  A.K. PATNAIK, J. CRIMINAL APPEAL No. 854 of 20...      0  
24    -0.9989  SANJIV KHANNA, J. Applications for interventio...      0  
25    -0.9999  T.S. THAKUR, J. 1. This appeal by special leav...      0  
26    -0.0880  K.S. RADHAKRISHNAN, J. 1. Leave granted. 2. We...      2  
27    -0.9999  Appellant herein is before us having been conv...      0  
28    -0.9898  Leave granted. This appeal takes exception to ...      0  
29    -0.9995  M.R. SHAH, J. Feeling aggrieved and dissatisfi...      0  
30    -0.9998  V. Ramasubramanian, J. 1. Challenging an order...      0  
31    -0.9999  Chandramauli Kr. Prasad The petitioner apprehe...      0  
32    -0.9991  Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. Ch...      0  
33    -0.9766  J U D G M E N T Lokeshwar Singh Panta, J. 1. T...      0  
34    -0.9996  Fakkir Mohamed Ibrahim Kalifulla, J. 1. Accuse...      0  
35     0.9776  Rastogi, J. 1. Leave granted. 2. We have heard...      5  
36    -0.9995  Dr. ARIJIT PASAYAT, J. 1. Challenge in this ap...      0  
37    -1.0000  Challenge in this appeal is to the judgment re...      0  
38    -0.9998  Dr. B.S. CHAUHAN, J. 1. This appeal has been p...      0  
39    -1.0000  1. This is an appeal by-special leave from the...      0  
40    -0.9997  DR. A.S.ANAND, CJI : On 15.7.1997 when this ba...      0  
41    -1.0000  Dr. ARIJIT PASAYAT, J. 1. Death sentence award...      0  
42    -0.9971  Leave granted. By this appeal the appellant, w...      0  
43    -0.7950  ACT: Constitution of India, 1950: Article 226-...      1  
44    -0.9672  HIMA KOHLI J. 1. By this common order, we prop...      0  
45    -1.0000  ACT: Criminal Procedure Code, 1973/1898-Sectio...      0  
46    -1.0000  JUDGMENT 2002 Supp(2) SCR 67 The Judgment of t...      0  
47    -1.0000  RANJAN GOGOI, J These appeals are directed aga...      0  
48    -0.9290  1 Leave granted. 2 By a judgment dated 14 Augu...      0  
49     0.9740  Y.K. Sabharwal, J. Leave granted. The question...      5  
